"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-01",100.1525,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-02",99.95133,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-03",99.79089,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-04",99.571,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-05",99.37769,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-06",99.16188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-07",98.95624,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-08",99.02034,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-09",99.14039,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-10",99.12989,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-11",99.0743,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-12",99.00032,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",98.93152,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",98.86816,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",98.85598,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",99.03787,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",99.30125,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",99.47269,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",99.65456,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",99.86536,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",100.0461,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",100.179,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",100.377,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.5515,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.649,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.5947,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.4303,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",100.1795,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",100.0604,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.0531,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.1131,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.1554,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.1589,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",100.1597,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",100.1175,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",100.0804,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",100.2031,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",100.3252,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",100.3543,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",100.2969,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",100.1589,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",100.0029,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",99.79214,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",99.33445,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-09",98.84626,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-10",98.48067,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-11",98.29802,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.14906,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.09293,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.15788,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.22086,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.28387,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.21087,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.22951,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.45124,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.60552,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.68877,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.58652,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.29609,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.13467,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.05328,
