"YEAR","MONTH","WORKING_DAYS_PER_MONTH","DAYS_PER_MONTH","SALES"
2008,1,22,31,5311835.41000019
2008,2,20,29,5368531.84000021
2008,3,20,31,6351555.68000024
2008,4,22,30,6954192.91000029
2008,5,21,31,7110037.48000034
2008,6,21,30,7943616.07000032
2008,7,23,31,9737257.26000043
2008,8,21,31,8772534.19000038
2008,9,22,30,7149885.97000031
2008,10,23,31,6742300.8700003
2008,11,20,30,5495575.55000022
2008,12,21,31,7627080.4700003
2009,1,21,31,4523206.98000015
2009,2,20,28,5473594.57000021
2009,3,22,31,7262267.85000031
2009,4,21,30,7080552.3000003
2009,5,20,31,6946747.65000033
2009,6,22,30,8751032.87000044
2009,7,23,31,9769708.00000048
2009,8,21,31,9426648.87000045
2009,9,22,30,7958717.61000037
2009,10,21,31,6981040.74000031
2009,11,21,30,6298859.25000026
2009,12,21,31,7308285.95000027
2010,1,20,31,5473075.33000022
2010,2,20,28,5343913.23000018
2010,3,23,31,8133488.51000031
2010,4,21,30,7132204.06000028
2010,5,21,31,7331410.48000029
2010,6,22,30,9136272.25000037
2010,7,22,31,10272415.7800004
2010,8,22,31,10344140.1700004
2010,9,22,30,8091734.59000037
2010,10,20,31,6840354.5000003
2010,11,21,30,6428105.69000026
2010,12,21,31,7182728.6700003
2011,1,21,31,5689002.48000023
2011,2,20,28,5575158.65000024
2011,3,23,31,7062518.27000033
2011,4,19,30,8318872.89000026
2011,5,21,31,8534697.94000029
2011,6,22,30,9362387.86000026
2011,7,20,31,9644934.59000024
2011,8,22,31,11293340.2200003
2011,9,22,30,8794274.26000034
2011,10,19,31,7792034.67000037
2011,11,21,30,6950105.85000027
2011,12,20,31,7326658.77000034
2012,1,21,31,6963722.44000032
2012,2,20,29,6017486.82000029
2012,3,22,31,7973612.33000036
2012,4,18,30,7899876.34000036
2012,5,21,31,8853071.50000033
2012,6,21,30,9607646.68000033
2012,7,21,31,10900170.7400003
2012,8,22,31,12339859.6800003
2012,9,20,30,8246343.02000035
2012,10,22,31,8487366.46000037
2012,11,21,30,7258760.9800004
2012,12,19,31,7720595.32000031
2013,1,22,31,7481122.20000036
2013,2,19,28,6688397.92000031
2013,3,19,31,7662548.71000035
2013,4,22,30,9571714.73000036
2013,5,21,31,9820969.66000027
2013,6,19,30,9872847.11000031
2013,7,22,31,13967447.2200001
2013,8,21,31,13227049.09
2013,9,21,30,9901550.50000036
2013,10,22,31,10019096.1400003
2013,11,20,30,8167496.4200004
2013,12,20,31,8933666.56000038
2014,1,21,31,8636768.60000039
2014,2,20,28,7606830.54000041
2014,3,20,31,9557989.96000036
2014,4,20,30,11592830.4800002
2014,5,21,31,11391670.5200002
2014,6,20,30,12579948.04
2014,7,22,31,14919871.0599999
2014,8,20,31,13981985.3299999
2014,9,22,30,12300056.4100001
2014,10,23,31,11085968.9700003
2014,11,20,30,8993896.62000053
2014,12,21,31,10997761.2500003
2015,1,20,31,9437157.61000041
2015,2,19,28,8272986.05000042
2015,3,21,31,12099910.6900002
2015,4,20,30,12205779.43
2015,5,20,31,12475843.63
2015,6,21,30,15056518.0599998
2015,7,23,31,17885050.8999992
2015,8,21,31,15847124.03
2015,9,22,30,13113512.2700001
2015,10,21,31,12033508.1600001
2015,11,20,30,11129146.5500003
2015,12,21,31,12618740.3900001
2016,1,19,31,10871843.7900003
2016,2,20,29,9774622.20000037
2016,3,21,31,12644508.01
2016,4,21,30,12581157.5700001
2016,5,21,31,14359384.6199997
2016,6,21,30,16852393.5799995
2016,7,20,31,19217462.4399988
2016,8,22,31,20434183.9799983
2016,9,22,30,15465741.0799999
2016,10,19,31,13269493.35
2016,11,21,30,12840868.7800001
2016,12,20,31,13118777.4499999
2017,1,21,31,12454670.5199999
2017,2,19,28,10697312.4200002
2017,3,22,31,15318766.9899996
2017,4,18,30,16312053.2999995
2017,5,21,31,17587527.9599991
2017,6,22,30,20342330.9799983
2017,7,20,31,20340705.1699983
2017,8,22,31,23095880.7199969
2017,9,21,30,16075732.1899996
2017,10,21,31,16835232.0899995
2017,11,21,30,15159505.6699994
2017,12,18,31,13956637.6999995
2018,1,22,31,15330268.7999996
2018,2,19,28,12672647.1099996
2018,3,19,31,16266612.7299994
2018,4,21,30,17056470.3299991
2018,5,21,31,19573289.9999985
2018,6,21,30,19475130.3799986
2018,7,21,31,23538452.3499959
2018,8,22,31,25711443.3499956
2018,9,20,30,17538926.7899992
2018,10,22,31,18765815.7399987
2018,11,21,30,15279764.5299998
2018,12,19,31,16699957.1699993
2019,1,22,31,15877949.2099995
2019,2,20,28,14181810.8899997
2019,3,11,31,9102806.75000033
