YEAR_MONTH,NUMS
01-08-2008,10
01-09-2008,40
01-10-2008,30
01-11-2008,50
01-12-2008,30
01-01-2009,42
01-02-2009,40
01-03-2009,38
01-04-2009,50
01-05-2009,50
01-08-2009,10
01-09-2009,40
01-10-2009,34
01-11-2009,36
01-12-2009,30
01-01-2010,50
01-02-2010,40
01-03-2010,50
01-04-2010,50
01-05-2010,40
01-08-2010,10
01-09-2010,40
01-10-2010,39
01-11-2010,41
01-12-2010,30
01-01-2011,50
01-02-2011,40
01-03-2011,40
01-04-2011,43
01-05-2011,47
01-08-2011,10
01-09-2011,40
01-10-2011,50
01-11-2011,30
01-12-2011,30
01-01-2012,40
01-02-2012,40
01-03-2012,55
01-04-2012,55
01-05-2012,30
01-08-2012,20
01-09-2012,39
01-10-2012,31
01-11-2012,41
01-12-2012,39
01-01-2013,40
01-02-2013,40
01-03-2013,38
01-04-2013,42
01-05-2013,40
01-06-2013,10
01-08-2013,25
01-09-2013,45
01-10-2013,40
01-11-2013,36
01-12-2013,24
01-01-2014,41
01-02-2014,40
01-03-2014,59
01-04-2014,39
01-05-2014,31
01-08-2014,20
01-09-2014,40
01-10-2014,31
01-11-2014,38
01-12-2014,30
01-01-2015,45
01-02-2015,41
01-03-2015,35
01-04-2015,60
01-05-2015,40
01-08-2015,20
01-09-2015,40
01-10-2015,36
01-11-2015,34
01-12-2015,39
01-01-2016,49
01-02-2016,42
01-03-2016,40
01-04-2016,55
01-05-2016,25
01-08-2016,20
01-09-2016,41
01-10-2016,39
01-11-2016,30
01-12-2016,29
01-01-2017,40
01-02-2017,42
01-03-2017,39
01-04-2017,68
01-05-2017,32
01-08-2017,20
01-09-2017,45
01-10-2017,35
01-11-2017,30
01-12-2017,39
01-01-2018,40
01-02-2018,48
01-03-2018,37
01-04-2018,54
01-05-2018,32
01-08-2018,23
01-09-2018,45
01-10-2018,32
01-11-2018,31
01-12-2018,38
01-01-2019,41
01-02-2019,40
01-03-2019,30
