,SHIFT,OFFENSE,METHOD,START_DATE,END_DATE
0,MIDNIGHT,SEX ABUSE,OTHERS,2009-07-04 23:52:00+00:00,
1,EVENING,ROBBERY,OTHERS,2013-01-13 18:30:00+00:00,2013-01-13 18:35:00+00:00
2,EVENING,THEFT/OTHER,OTHERS,2013-04-10 14:00:00+00:00,2013-04-10 14:05:00+00:00
3,MIDNIGHT,HOMICIDE,OTHERS,2013-09-18 02:45:00+00:00,2013-09-18 03:22:00+00:00
4,EVENING,THEFT/OTHER,OTHERS,2013-09-23 20:49:00+00:00,2013-09-23 20:50:00+00:00
5,MIDNIGHT,HOMICIDE,OTHERS,2013-10-02 17:18:00+00:00,2013-10-02 17:24:00+00:00
6,EVENING,THEFT/OTHER,OTHERS,2013-10-11 12:00:00+00:00,2013-10-11 12:10:00+00:00
7,EVENING,THEFT F/AUTO,OTHERS,2013-10-28 21:45:00+00:00,2013-10-28 23:45:00+00:00
8,DAY,THEFT F/AUTO,OTHERS,2013-10-26 10:26:00+00:00,2013-10-26 10:26:00+00:00
9,MIDNIGHT,SEX ABUSE,OTHERS,2013-11-03 17:15:00+00:00,2013-11-03 17:15:00+00:00
10,MIDNIGHT,SEX ABUSE,GUN,2013-11-04 17:50:00+00:00,2013-11-04 18:01:00+00:00
11,EVENING,THEFT F/AUTO,OTHERS,2013-10-27 15:18:00+00:00,2013-10-27 15:20:00+00:00
12,MIDNIGHT,SEX ABUSE,GUN,2013-11-13 20:30:00+00:00,2013-11-14 09:35:00+00:00
13,DAY,MOTOR VEHICLE THEFT,OTHERS,2013-11-22 10:27:00+00:00,2013-11-22 10:30:00+00:00
14,MIDNIGHT,HOMICIDE,OTHERS,2013-11-28 11:15:00+00:00,2013-11-28 11:30:00+00:00
15,MIDNIGHT,SEX ABUSE,OTHERS,2013-12-09 18:22:00+00:00,2013-12-09 18:22:00+00:00
16,DAY,THEFT F/AUTO,OTHERS,2013-12-29 15:30:00+00:00,2013-12-29 19:25:00+00:00
17,MIDNIGHT,SEX ABUSE,OTHERS,2013-12-24 21:30:00+00:00,2013-12-25 08:49:00+00:00
18,DAY,THEFT F/AUTO,OTHERS,2013-07-01 17:00:00+00:00,2013-12-22 14:00:00+00:00
19,MIDNIGHT,THEFT/OTHER,OTHERS,2013-12-31 20:05:00+00:00,2013-12-31 20:20:00+00:00
20,MIDNIGHT,ROBBERY,OTHERS,2013-12-31 20:45:00+00:00,2013-12-31 22:07:00+00:00
21,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,2013-12-17 14:00:00+00:00,2014-02-06 14:35:00+00:00
22,DAY,THEFT/OTHER,OTHERS,2014-03-13 22:00:00+00:00,2014-03-13 22:30:00+00:00
23,DAY,THEFT/OTHER,OTHERS,2014-03-14 09:05:00+00:00,2014-03-14 09:06:00+00:00
24,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-03-14 09:01:00+00:00,2014-03-14 09:01:00+00:00
25,DAY,ASSAULT W/DANGEROUS WEAPON,KNIFE,2014-03-14 09:28:00+00:00,2014-03-14 09:28:00+00:00
26,DAY,ASSAULT W/DANGEROUS WEAPON,OTHERS,2014-03-14 09:06:00+00:00,2014-03-14 09:07:00+00:00
27,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,2014-03-14 09:36:00+00:00,2014-03-14 09:37:00+00:00
28,DAY,BURGLARY,OTHERS,2014-03-13 19:00:00+00:00,2014-03-14 08:20:00+00:00
29,DAY,THEFT/OTHER,OTHERS,2014-03-14 11:10:00+00:00,2014-03-14 11:11:00+00:00
30,DAY,THEFT F/AUTO,OTHERS,2014-03-14 11:12:00+00:00,2014-03-14 11:12:00+00:00
31,DAY,THEFT/OTHER,OTHERS,2014-03-14 11:15:00+00:00,2014-03-14 11:20:00+00:00
32,DAY,THEFT/OTHER,OTHERS,2014-03-10 15:09:00+00:00,2014-03-10 17:00:00+00:00
