,Date,Holiday
0,2010-12-31,New Year's Day
1,2011-01-17,"Birthday of Martin Luther King, Jr."
2,2011-02-21,Washington's Birthday
3,2011-05-30,Memorial Day
4,2011-07-04,Independence Day
5,2011-09-05,Labor Day
6,2011-10-10,Columbus Day
7,2011-11-11,Veterans Day
8,2011-11-24,Thanksgiving Day
9,2011-12-26,Christmas Day
10,2012-01-02,New Year's Day
11,2012-01-16,"Birthday of Martin Luther King, Jr."
12,2012-02-20,Washington's Birthday
13,2012-05-28,Memorial Day
14,2012-07-04,Independence Day
15,2012-09-03,Labor Day
16,2012-10-08,Columbus Day
17,2012-11-12,Veterans Day
18,2012-11-22,Thanksgiving Day
19,2012-12-25,Christmas Day
